FULL NAME,TEAM,POS,AGE,GP,MPG,USG%,FTA,FT%,2PA,2P%,3PA,3P%,PPG,RPG,APG,SPG,BPG,TOPG
Marc Gasol,Tor,C,34,24,30.6,13.6,46,0.87,91,0.462,89,0.382,9.4,6.4,3,0.88,1.08,0.88
Danny Green,Tor,G-F,32,24,28.5,12.6,23,0.913,36,0.389,119,0.328,6.9,3.6,1.1,1.29,0.46,1.08
Serge Ibaka,Tor,F-C,30,24,20.8,21.4,42,0.762,155,0.535,38,0.237,9.4,6,0.9,0.46,0.96,1.04
Kawhi Leonard,Tor,F,28,24,39.1,32,216,0.884,351,0.536,145,0.379,30.5,9.1,3.9,1.67,0.71,3.08
Kyle Lowry,Tor,G,33,24,37.5,18.4,81,0.802,133,0.526,145,0.359,15,4.9,6.6,1.29,0.29,2.21
Pascal Siakam,Tor,F,25,24,37.1,23,87,0.759,279,0.541,104,0.279,19,7.1,2.8,1.04,0.71,1.38
Fred VanVleet,Tor,G,25,24,24.7,15.3,31,0.774,68,0.397,98,0.388,8,1.8,2.6,0.75,0.25,0.88
Norman Powell,Tor,F-G,26,23,15.9,18.1,19,0.737,64,0.5,62,0.387,6.5,2.2,1.1,0.39,0,0.52
Stephen Curry,Gol,G,31,22,38.4,29,157,0.943,187,0.524,244,0.377,28.2,6,5.7,1.09,0.18,3
Draymond Green,Gol,F,29,22,38.7,17.5,71,0.718,171,0.591,57,0.228,13.3,10.1,8.5,1.45,1.5,3.77
Shaun Livingston,Gol,G,34,22,14.6,12.7,25,0.84,73,0.466,2,0,4,1.4,1.4,0.45,0.18,0.36
Kevon Looney,Gol,F,23,21,20.5,11.9,29,0.724,93,0.688,0,0,7.1,4.5,1,0.57,0.52,0.62
Alfonzo McKinnie,Gol,F,27,22,10.7,12.8,10,0.4,27,0.593,32,0.313,3,2.3,0.2,0.09,0.05,0.27
Klay Thompson,Gol,G,29,21,39,22.1,41,0.902,202,0.465,158,0.443,20.7,4.1,2.1,1.33,0.71,1.81
Al-Farouq Aminu,Por,F,29,16,25,15.3,36,0.75,58,0.397,51,0.294,7.4,6.3,1.3,0.56,0.63,1
Zach Collins,Por,F-C,22,16,17.2,17.7,25,0.8,60,0.567,21,0.333,6.8,3.6,0.9,0.44,1.38,1.25
Seth Curry,Por,G,29,16,20.4,12.5,11,0.818,30,0.3,52,0.404,5.6,1.6,0.8,0.75,0.25,0.44
Maurice Harkless,Por,F,26,16,24.2,15.9,36,0.639,81,0.556,28,0.25,8.4,4.9,1.4,1.13,1,1.06
Rodney Hood,Por,G,27,16,23.3,16,44,0.818,60,0.567,51,0.353,9.9,2.3,0.9,0.38,0.19,0.44
Enes Kanter,Por,C,27,16,28.8,17.9,41,0.756,142,0.521,4,0.25,11.4,9.7,1.2,0.69,0.56,1.63
