FULL NAME,TEAM,POS,AGE,GP,MPG,USG%,FTA,FT%,2PA,2P%,3PA,3P%,PPG,RPG,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Marc Gasol,Tor,C,34.37,24,30.6,13.6,46,0.87,91,0.462,89,0.382,9.4,6.4,3,14.7,0.88,1.08,0.88,7.4,118.4,97.2
Danny Green,Tor,G-F,31.98,24,28.5,12.6,23,0.913,36,0.389,119,0.328,6.9,3.6,1.1,5.4,1.29,0.46,1.08,4.2,97.4,101.6
Serge Ibaka,Tor,F-C,29.74,24,20.8,21.4,42,0.762,155,0.535,38,0.237,9.4,6,0.9,7.4,0.46,0.96,1.04,7.1,105.5,91.9
Kawhi Leonard,Tor,F,27.96,24,39.1,32,216,0.884,351,0.536,145,0.379,30.5,9.1,3.9,19.3,1.67,0.71,3.08,10.5,118.9,102.7
Kyle Lowry,Tor,G,33.22,24,37.5,18.4,81,0.802,133,0.526,145,0.359,15,4.9,6.6,27.5,1.29,0.29,2.21,8.4,116.8,100.1
Pascal Siakam,Tor,F,25.2,24,37.1,23,87,0.759,279,0.541,104,0.279,19,7.1,2.8,12.9,1.04,0.71,1.38,7.8,110.2,102.7
Fred VanVleet,Tor,G,25.3,24,24.7,15.3,31,0.774,68,0.397,98,0.388,8,1.8,2.6,15.7,0.75,0.25,0.88,5.4,110,104.4
Norman Powell,Tor,F-G,26.06,23,15.9,18.1,19,0.737,64,0.5,62,0.387,6.5,2.2,1.1,11.4,0.39,0,0.52,6.3,110,102.5
Stephen Curry,Gol,G,31.25,22,38.4,29,157,0.943,187,0.524,244,0.377,28.2,6,5.7,23.9,1.09,0.18,3,10.3,119.5,106.4
Draymond Green,Gol,F,29.28,22,38.7,17.5,71,0.718,171,0.591,57,0.228,13.3,10.1,8.5,30.8,1.45,1.5,3.77,10.8,109.9,101.2
Shaun Livingston,Gol,G,33.76,22,14.6,12.7,25,0.84,73,0.466,2,0,4,1.4,1.4,13,0.45,0.18,0.36,5.4,115.7,105.2
Kevon Looney,Gol,F,23.35,21,20.5,11.9,29,0.724,93,0.688,0,0,7.1,4.5,1,6.6,0.57,0.52,0.62,6.2,138.9,102.8
Alfonzo McKinnie,Gol,F,26.74,22,10.7,12.8,10,0.4,27,0.593,32,0.313,3,2.3,0.2,2.3,0.09,0.05,0.27,4.2,107.7,101.2
Klay Thompson,Gol,G,29.35,21,39,22.1,41,0.902,202,0.465,158,0.443,20.7,4.1,2.1,8.3,1.33,0.71,1.81,5.8,107.3,108.3
Al-Farouq Aminu,Por,F,28.73,16,25,15.3,36,0.75,58,0.397,51,0.294,7.4,6.3,1.3,7.5,0.56,0.63,1,6.3,104.2,104.3
Zach Collins,Por,F-C,21.57,16,17.2,17.7,25,0.8,60,0.567,21,0.333,6.8,3.6,0.9,7.9,0.44,1.38,1.25,6.5,108.3,92.7
Seth Curry,Por,G,28.81,16,20.4,12.5,11,0.818,30,0.3,52,0.404,5.6,1.6,0.8,5.7,0.75,0.25,0.44,3.8,108.6,107.1
Maurice Harkless,Por,F,26.09,16,24.2,15.9,36,0.639,81,0.556,28,0.25,8.4,4.9,1.4,9,1.13,1,1.06,6.4,111.4,97.9
Rodney Hood,Por,G,26.65,16,23.3,16,44,0.818,60,0.567,51,0.353,9.9,2.3,0.9,5.7,0.38,0.19,0.44,4.7,126.4,108.9
Enes Kanter,Por,C,27.07,16,28.8,17.9,41,0.756,142,0.521,4,0.25,11.4,9.7,1.2,6.5,0.69,0.56,1.63,7.1,112.2,103.8
Damian Lillard,Por,G,28.92,16,40.6,29.4,114,0.833,172,0.459,158,0.373,26.9,4.8,6.6,27.9,1.69,0.31,3.75,9.3,111.7,107.9
CJ McCollum,Por,G,27.74,16,39.7,27.6,56,0.732,233,0.464,117,0.393,24.7,5,3.7,16.8,0.81,0.63,1.88,7.8,108.3,110
Evan Turner,Por,G-F,30.63,16,15.3,11.6,15,0.8,45,0.311,1,1,2.7,4.6,2.2,19.4,0.19,0.19,0.81,7.9,99.5,102.6
Andre Iguodala,Gol,G-F,35.38,21,30,14,37,0.378,86,0.628,80,0.35,9.8,4.3,4,18.4,1.14,1.1,1,7.4,119.9,108.1
Giannis Antetokounmpo,Mil,F,24.52,15,34.3,32.2,168,0.637,207,0.536,55,0.327,25.5,12.3,4.9,25.1,1.13,2,3.33,13.5,111.5,94.9
Eric Bledsoe,Mil,G,29.51,15,28.2,24.4,51,0.706,113,0.522,72,0.236,13.7,3.7,4.3,23.7,1.07,0.4,2.2,8.5,101.7,102.6
Pat Connaughton,Mil,G,26.44,15,21.6,11.7,8,0.5,35,0.629,42,0.357,6.2,6.2,1.4,9.2,0.33,0.87,0.53,7,116.7,102.1
George Hill,Mil,G,33.11,15,26.3,15,33,0.818,70,0.614,48,0.417,11.5,3.5,2.8,16.2,0.87,0.27,0.4,7.3,138.7,100.6
Ersan Ilyasova,Mil,F,32.08,15,18.2,15.4,25,0.8,41,0.561,40,0.3,6.8,4.7,1.4,11.2,0.67,0.4,0.4,7.8,122.5,91.7
Brook Lopez,Mil,C,31.2,15,29.2,15.3,29,0.828,59,0.661,75,0.293,11.2,5.5,1.4,7.1,0.4,1.87,0.67,6.1,116.1,98.1
Khris Middleton,Mil,F,27.84,15,34.4,21,52,0.885,109,0.404,92,0.435,16.9,6.3,4.4,19.6,0.6,0,1.93,9,112.9,99.9
Will Barton,Den,G,28.44,14,23.4,21.6,26,0.692,80,0.4,55,0.273,9.1,4.8,1.7,11,0.29,0.64,0.93,7.2,95.3,107.5
Malik Beasley,Den,G,22.55,14,20.1,18,31,0.71,46,0.37,47,0.404,8.1,3.4,1,7.3,0.21,0.07,0.5,6,112.6,107
Torrey Craig,Den,F,28.49,14,23.6,11,16,0.563,33,0.485,36,0.472,6.6,5.1,0.9,5.1,0.5,0.36,0.43,5.3,125.8,100.8
Gary Harris,Den,G,24.75,14,37,16,38,0.868,101,0.525,57,0.351,14.2,4.1,2.3,9.3,0.86,0.57,0.79,5.5,118.9,107
Nikola Jokic,Den,C,24.32,14,39.8,26.5,78,0.846,205,0.537,56,0.393,25.1,13,8.4,37.2,1.07,0.93,2.57,14.1,126.1,100.2
Paul Millsap,Den,F,34.34,14,33.5,19.2,61,0.77,119,0.513,38,0.316,14.6,6.7,0.8,3.6,0.86,1.07,1.29,5.1,111.4,102
Monte Morris,Den,G,23.97,14,16,19.4,13,0.692,73,0.452,13,0,5.4,1.4,2.6,24.3,0.36,0.07,0.43,6.7,99.1,108.5
Jamal Murray,Den,G,22.3,14,36.3,26.5,62,0.903,171,0.462,83,0.337,21.3,4.4,4.7,21.7,1.07,0.14,1.57,8.4,113.6,109.9
Mason Plumlee,Den,F-C,29.28,14,15.6,13.5,28,0.571,45,0.533,1,0,4.6,4.4,1.5,13.8,0.5,0.71,0.57,8,122.2,92.5
Andrew Bogut,Gol,C,34.54,19,9.4,12,5,0.8,37,0.649,0,0,2.7,3.9,1.1,16.5,0.26,0.32,0.53,9.6,131.8,87
Nikola Mirotic,Mil,F,28.34,14,21.3,20.6,28,0.821,41,0.537,76,0.289,9.5,4.3,0.7,5,0.71,0.21,1,5.7,102.7,99.6
Jodie Meeks,Tor,G,31.81,14,4.8,22.7,3,0.667,16,0.438,13,0.154,1.6,0.6,0.1,2.3,0.29,0.07,0.21,3.8,69.4,97.8
Jonas Jerebko,Gol,F,32.29,16,7.6,16.7,6,0.833,23,0.304,19,0.263,2.1,2.1,0.8,13.3,0.06,0.13,0.13,8,105.5,107.6
Jimmy Butler,Phi,G-F,29.75,12,35.1,23,72,0.875,130,0.515,45,0.267,19.4,6.1,5.2,23.2,1.42,0.58,1.83,9.7,119.4,107.8
